date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-24,2026-06-01,2026-08-24,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,0.5,8.0,-93.0,LD,445.9,729.2,-39.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,10.7,15.2,-30.0,D,1813.8,1308.6,39.0,E,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,12.8,12.9,-1.0,N,949.0,1107.9,-14.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,12.1,16.1,-25.0,D,136.3,1246.0,-89.0,LD,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.4,10.6,-97.0,LD,867.5,1017.3,-15.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,7.0,-100.0,NR,1056.1,894.8,18.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,3.1,29.1,-89.0,LD,1820.5,2419.1,-25.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,4.5,9.1,-51.0,D,449.8,851.0,-47.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,4.0,8.0,-50.0,D,769.4,1191.8,-35.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,4.4,-100.0,NR,352.4,565.9,-38.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,3.1,15.0,-79.0,LD,1348.3,1655.7,-19.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,0.0,6.5,-100.0,NR,289.0,741.2,-61.0,LD,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,20.0,18.6,8.0,N,1605.5,1498.9,7.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,5.7,12.6,-55.0,D,929.8,1258.1,-26.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,1.1,13.9,-92.0,LD,382.4,1294.6,-70.0,LD,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,18.1,-100.0,NR,521.3,1518.6,-66.0,LD,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,25.0,17.5,43.0,E,973.0,1635.1,-40.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,6.5,9.7,-33.0,D,992.2,1187.9,-16.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,5.0,17.5,-72.0,LD,1094.9,1635.1,-33.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,0.0,6.8,-100.0,NR,787.3,1827.4,-57.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,11.9,17.6,-32.0,D,1345.2,1374.1,-2.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,23.0,11.9,93.0,LE,1042.5,767.7,36.0,E,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,4.5,30.5,-85.0,LD,1087.4,1839.1,-41.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,0.0,9.7,-100.0,NR,588.0,1005.0,-41.0,D,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,0.0,33.2,-100.0,NR,1807.6,1564.6,16.0,N,2026-08-25 06:49:41.535404
2026-08-24,2026-06-01,2026-08-24,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,9.8,21.8,-55.0,D,1063.4,1643.5,-35.0,D,2026-08-25 06:49:41.535404
